TestGroup,SlopeHeight,SlopeAngle,Weight,TranslationalVelocity,RotationalVelocity,TranslationalKineticEnergy,RotationalKineticEnergy,SlopeMaterial
02-MOD-299-PM54.25,70.7,45,14.0363685,15.1,,0.024848077,,Weathered Rock
02-MOD-299-PM54.25,67.2,45,27.499824,14.1,,0.042447516,,Weathered Rock
02-MOD-299-PM54.25,70.7,45,41.249736,16.7,,0.089317848,,Weathered Rock
02-MOD-299-PM54.25,70.7,45,113.627745,16.3,,0.234392512,,Weathered Rock
02-MOD-299-PM54.25,70.7,45,86.891805,21.5,,0.311845783,,Weathered Rock
02-MOD-299-PM54.25,72.1,45,189.443232,22.9,,0.771319296,,Weathered Rock
02-MOD-299-PM54.25,67.2,45,9.54855,25.8,,0.049347025,,Weathered Rock
02-MOD-299-PM54.25,67.2,45,12.8905425,25.5,,0.065078224,,Weathered Rock
02-MOD-299-PM54.25,67.2,45,36.666432,18.9,,0.101689567,,Weathered Rock
02-MOD-299-PM54.25,67.2,45,36.093519,22.9,,0.146954987,,Weathered Rock
02-MOD-299-PM54.25,67.2,45,30.55536,30.5,,0.22068419,,Weathered Rock
02-MOD-299-PM54.25,63.3,45,66.83985,28,,0.406851261,,Weathered Rock
02-MOD-299-PM54.25,63.3,45,329.997888,17.6,,0.793634672,,Weathered Rock
02-MOD-299-PM54.25,63.3,45,9.166608,21.2,,0.031986338,,Weathered Rock
02-MOD-299-PM54.25,63.3,45,88.228602,28.9,,0.572122754,,Weathered Rock
02-MOD-299-PM54.25,63.3,45,73.523835,19.1,,0.208247129,,Weathered Rock
02-MOD-299-PM54.25,63.3,45,34.37478,15.2,,0.061661096,,Weathered Rock
02-MOD-299-PM54.25,63.3,45,45.83304,22,,0.172229747,,Weathered Rock
02-MOD-299-PM54.25,63.3,45,91.66608,22.1,,0.34759806,,Weathered Rock
02-MOD-299-PM54.25,70.7,45,68.74956,18.7,,0.186653988,,Weathered Rock
02-MOD-299-PM54.25,70.7,45,36.666432,19.6,,0.109361619,,Weathered Rock
02-MOD-299-PM55.5,22.9,35,19.479042,15.9,,0.038233669,,Colluvium
02-MOD-299-PM55.5,22.9,35,25.781085,20.4,,0.083300127,,Colluvium
02-MOD-299-PM55.5,22.9,35,51.753141,18.9,,0.143530586,,Colluvium
02-MOD-299-PM55.5,35.6,35,73.714806,22.9,,0.30013029,,Colluvium
02-MOD-299-PM55.5,35.6,35,18.142245,13.2,,0.024542739,,Colluvium
02-MOD-299-PM55.5,35.6,35,27.4043385,22.6,,0.10867267,,Colluvium
02-MOD-299-PM55.5,35.6,35,71.423154,20.3,,0.228515276,,Colluvium
02-MOD-299-PM55.5,34.4,35,24.3488025,19.4,,0.071148411,,Colluvium
02-MOD-299-PM55.5,35.6,35,23.298462,25.5,,0.117622864,,Colluvium
02-MOD-299-PM55.5,47,35,38.958084,26.8,,0.217245763,,Colluvium
02-MOD-299-PM55.5,47,35,12.8905425,28.8,,0.083011891,,Colluvium
02-MOD-299-PM55.5,47,35,46.596924,31.3,,0.354429662,,Colluvium
02-MOD-299-PM55.5,47,35,29.5050195,19.4,,0.086215133,,Colluvium
02-MOD-299-PM55.5,47,35,40.10391,19.4,,0.117185618,,Colluvium
02-MOD-299-PM55.5,57.4,35,106.94376,30.3,,0.76229811,,Colluvium
02-MOD-299-PM55.5,57.4,35,85.0775805,27,,0.481533821,,Colluvium
02-MOD-299-PM55.5,57.4,35,14.322825,25.6,,0.07287738,,Colluvium
02-MOD-299-PM55.5,57.4,35,260.675415,21.7,,0.95302365,,Colluvium
02-MOD-299-PM55.5,57.4,35,34.37478,22.6,,0.136314151,,Colluvium
02-MOD-299-PM55.5,57.4,35,60.155865,29.7,,0.411978936,,Colluvium
02-MOD-299-PM55.5,68.8,35,17.18739,40,,0.21350795,,Colluvium
02-MOD-299-PM55.5,71.1,35,143.22825,33,,1.210990406,,Colluvium
02-MOD-299-PM55.5,71.7,35,38.1942,27.5,,0.224257483,,Colluvium
02-MOD-299-PM55.5,71.7,35,86.891805,39.5,,1.052584928,,Colluvium
02-MOD-299-PM55.5,71.7,35,161.752437,37.5,,1.766027675,,Colluvium
02-MOD-299-PM55.5,71.7,35,100.5462315,30.6,,0.730958613,,Colluvium
02-MOD-299-PM55.5,71.7,35,206.24868,24.4,,0.9533557,,Colluvium
02-MOD-299-PM55.5,71.7,35,100.5462315,23.4,,0.427446386,,Colluvium
02-MOD-299-PM55.5,71.7,35,176.457204,34.9,,1.668685086,,Colluvium
02-PLU-70-PM61.3,29.3,78,9.930492,18.8,,0.027250257,,Weathered Rock
02-PLU-70-PM61.3,29.3,78,9.930492,15,,0.017347521,,Weathered Rock
02-PLU-70-PM61.3,29.3,78,18.142245,17.1,,0.041187685,,Weathered Rock
02-PLU-70-PM61.3,27.4,78,58.819068,21.4,,0.209136494,,Weathered Rock
02-PLU-70-PM61.3,43.8,78,36.28449,28.8,,0.233663101,,Weathered Rock
02-PLU-70-PM61.3,43.8,78,33.037983,30,,0.230855471,,Weathered Rock
02-PLU-70-PM61.3,43.8,78,64.93014,33,,0.548982317,,Weathered Rock
02-PLU-70-PM61.3,43.8,78,145.13796,22.1,,0.550363595,,Weathered Rock
02-PLU-70-PM61.3,43.8,78,25.208172,29.1,,0.165733945,,Weathered Rock
02-PLU-70-PM61.3,42.9,78,653.4072765,42.3,,9.077135914,,Weathered Rock
02-PLU-70-PM61.3,15.3,52,61.874604,9.9,,0.047083307,,Weathered Rock
02-PLU-70-PM62.0-A,15.3,52,41.3452215,12.2,,0.047778127,,Weathered Rock
02-PLU-70-PM62.0-A,15.3,52,22.91652,11.2,,0.022318698,,Weathered Rock
02-PLU-70-PM62.0-A,23.3,52,29.791476,12.9,,0.03849068,,Weathered Rock
02-PLU-70-PM62.0-A,23.3,52,20.624868,16.2,,0.04202477,,Weathered Rock
02-PLU-70-PM62.0-A,23.3,52,122.8898385,15,,0.214675572,,Weathered Rock
02-PLU-70-PM62.0-A,31.5,52,48.9840615,21.4,,0.174167242,,Weathered Rock
02-PLU-70-PM62.0-A,31.5,52,37.430316,20.4,,0.120939443,,Weathered Rock
02-PLU-70-PM62.0-A,31.5,52,20.1474405,21.1,,0.06964163,,Weathered Rock
02-PLU-70-PM62.0-A,31.5,52,39.0535695,22.2,,0.149434481,,Weathered Rock
02-PLU-70-PM62.0-A,31.5,52,40.10391,20.5,,0.130851461,,Weathered Rock
02-PLU-70-PM62.0-A,39.9,52,27.308853,31.6,,0.21171994,,Weathered Rock
02-PLU-70-PM62.0-A,39.9,52,159.651756,28.3,,0.992728997,,Weathered Rock
02-PLU-70-PM62.0-A,39.9,52,41.249736,26.5,,0.224903937,,Weathered Rock
02-PLU-70-PM62.0-A,39.9,52,81.6401025,23.4,,0.347071852,,Weathered Rock
02-PLU-70-PM62.0-A,39.9,52,33.037983,22.4,,0.12870449,,Weathered Rock
02-PLU-70-PM62.0-A,44.1,52,252.08172,20.8,,0.846744063,,Weathered Rock
02-PLU-70-PM62.0-A,44.1,52,148.95738,30.3,,1.061772368,,Weathered Rock
02-PLU-70-PM62.0-A,44.1,52,50.1298875,31.6,,0.388646743,,Weathered Rock
02-PLU-70-PM62.0-A,44.1,52,32.083128,29.4,,0.215305687,,Weathered Rock
02-PLU-70-PM62.0-A,44.1,52,38.958084,30.6,,0.283220431,,Weathered Rock
02-PLU-70-PM62.0-A,44.1,52,232.1252505,26.3,,1.24657387,,Weathered Rock
02-PLU-70-PM62.0-A,44.1,52,32.5605555,26.8,,0.181570601,,Weathered Rock
02-PLU-70-PM62.0-A,44.1,52,17.2828755,24,,0.077289878,,Weathered Rock
02-PLU-70-PM62.0-A,44.1,52,29.791476,23.3, ,0.125570609,,Weathered Rock
02-PLU-70-PM62.0-B,95,50,38.6716275,21.5,,0.138788508,,Weathered Rock
02-PLU-70-PM62.0-B,95,50,63.02043,27.5,,0.370024846,,Weathered Rock
02-PLU-70-PM62.0-B,95,50,168.436422,26.1,,0.890842974,,Weathered Rock
02-PLU-70-PM62.0-B,95,50,30.55536,26.8,,0.170388834,,Weathered Rock
02-PLU-70-PM62.0-B,95,50,48.124692,24.6,,0.226111325,,Weathered Rock
02-PLU-70-PM62.0-B,95,50,111.718035,23.3,,0.470889783,,Weathered Rock
02-PLU-70-PM62.0-B,95,50,11.45826,35.3,,0.110854217,,Weathered Rock
02-PLU-70-PM62.0-B,95,50,22.343607,24.2,,0.101594022,,Weathered Rock
02-PLU-70-PM62.0-B,95,50,34.37478,29.7,,0.235416535,,Weathered Rock
02-PLU-70-PM62.0-B,95,50,51.180228,33.7,,0.451280071,,Weathered Rock
02-PLU-70-PM62.0-B,95,50,42.01362,42.3,,0.58365334,,Weathered Rock
02-PLU-70-PM62.0-B,95,50,68.176647,28,,0.414988286,,Weathered Rock
02-PLU-70-PM62.0-B,95,50,40.10391,30.6,,0.291550444,,Weathered Rock
02-PLU-70-PM62.0-B,95,50,100.832688,38,,1.130453428,,Weathered Rock
02-PLU-70-PM62.0-B,95,50,73.332864,37,,0.779446357,,Weathered Rock
02-PLU-70-PM62.0-B,95,50,93.57579,36.6,,0.973217277,,Weathered Rock
02-PLU-70-PM62.0-B,95,50,76.3884,34.9,,0.722374496,,Weathered Rock
02-PLU-70-PM62.0-B,95,50,160.41564,30.9,,1.189180569,,Weathered Rock
02-PLU-70-PM62.0-B,95,50,214.842375,30.9,,1.592652547,,Weathered Rock
02-PLU-70-PM62.0-B,95,50,97.968123,27.3,,0.566884025,,Weathered Rock
02-SIS-5-PM21.5,74.6,50,87.655689,21.3,,0.30876172,,Weathered Rock
02-SIS-5-PM21.5,74.6,50,56.8138725,55.6,,1.363603516,,Weathered Rock
02-SIS-5-PM21.5,74.6,50,70.1818425,36.1,,0.710106203,,Weathered Rock
02-SIS-5-PM21.5,76.8,50,173.78361,35.3,,1.681288964,,Weathered Rock
02-SIS-5-PM21.5,76.8,50,82.499472,20.8,,0.277116239,,Weathered Rock
02-SIS-5-PM21.5,76.8,50,17.18739,38,,0.192690925,,Weathered Rock
02-SIS-5-PM21.5,76.8,50,43.0639605,30.9,,0.319238355,,Weathered Rock
